    PID TTY          TIME CMD
   1048 ?        00:00:00 thermald
   1049 ?        00:00:00 udisksd
   1079 ?        00:00:00 avahi-daemon
   1103 ?        00:00:00 rsyslogd
   1113 ?        00:00:00 NetworkManager
   1118 ?        00:00:00 wpa_supplicant
   1222 ?        00:00:00 krfcommd
   1253 ?        00:00:00 upowerd
   1264 ?        00:00:00 ModemManager
   1637 ?        00:00:00 cupsd
   1640 ?        00:00:00 unattended-upgr
   1653 ?        00:00:00 gdm3
   1683 ?        00:00:00 psimon
   1723 ?        00:00:00 rtkit-daemon
   1867 ?        00:00:00 colord
   2312 ?        00:00:00 cups-browsed
   2313 ?        00:00:00 power-profiles-
   2326 ?        00:00:00 gdm-session-wor
   2334 ?        00:00:01 systemd
   2335 ?        00:00:00 (sd-pam)
   2348 ?        00:00:00 mpris-proxy
   2349 ?        00:00:01 pipewire
   2351 ?        00:00:00 pipewire
   2354 ?        00:00:02 wireplumber
   2355 ?        00:00:00 pipewire-pulse
   2356 ?        00:00:01 dbus-daemon
   2361 ?        00:00:00 gnome-keyring-d
   2395 ?        00:00:00 xdg-document-po
   2399 ?        00:00:00 xdg-permission-
   2407 ?        00:00:00 fusermount3
   2451 tty2     00:00:00 gdm-wayland-ses
   2460 tty2     00:00:00 gnome-session-b
   2536 ?        00:00:00 gcr-ssh-agent
   2537 ?        00:00:00 gnome-session-c
   2555 ?        00:00:00 gvfsd
   2563 ?        00:00:00 gvfsd-fuse
   2578 ?        00:00:00 gnome-session-b
   2612 ?        00:00:00 at-spi-bus-laun
   2625 ?        00:00:00 dbus-daemon
   2626 ?        00:03:18 gnome-shell
   2670 ?        00:00:00 at-spi2-registr
   2690 ?        00:00:00 gnome-shell-cal
   2697 ?        00:00:00 evolution-sourc
   2708 ?        00:00:00 gjs
   2712 ?        00:00:07 ibus-daemon
   2715 ?        00:00:00 gsd-a11y-settin
   2717 ?        00:00:00 gsd-color
   2732 ?        00:00:00 gsd-datetime
   2733 ?        00:00:00 gsd-housekeepin
   2738 ?        00:00:00 gsd-keyboard
   2741 ?        00:00:00 gsd-media-keys
   2745 ?        00:00:00 gsd-power
   2749 ?        00:00:00 gsd-print-notif
   2751 ?        00:00:00 gsd-rfkill
   2755 ?        00:00:00 gsd-screensaver
   2757 ?        00:00:00 gsd-sharing
   2760 ?        00:00:00 gsd-smartcard
   2766 ?        00:00:00 gsd-sound
   2767 ?        00:00:00 gsd-wacom
   2772 ?        00:00:00 evolution-alarm
   2775 ?        00:00:00 gsd-disk-utilit
   2777 ?        00:00:00 gvfs-udisks2-vo
   2830 ?        00:00:00 goa-daemon
   2867 ?        00:00:00 ibus-memconf
   2869 ?        00:00:05 ibus-extension-
   2878 ?        00:00:00 ibus-portal
   2921 ?        00:00:00 goa-identity-se
   2937 ?        00:00:00 evolution-calen
   2947 ?        00:00:00 gvfs-mtp-volume
   2955 ?        00:00:00 gvfs-afc-volume
   2958 ?        00:00:00 gsd-printer
   2966 ?        00:00:00 gvfs-gphoto2-vo
   2982 ?        00:00:00 evolution-addre
   2983 ?        00:00:00 gvfs-goa-volume
   3010 ?        00:00:02 ibus-engine-sim
   3035 ?        00:00:00 dconf-service
   3041 ?        00:00:00 snapd-desktop-i
   3080 ?        00:00:00 gvfsd-trash
   3112 ?        00:00:00 snapd-desktop-i
   3147 ?        00:00:00 localsearch-3
   3154 ?        00:00:00 gjs
   3174 ?        00:00:00 xdg-desktop-por
   3180 ?        00:00:01 xdg-desktop-por
   3190 ?        00:00:01 gjs
   3245 ?        00:00:00 gvfsd-metadata
   3246 ?        00:00:01 xdg-desktop-por
   3298 ?        00:00:00 localsearch-ext
   3402 ?        00:00:00 brave-browser-s
   3407 ?        00:00:00 cat
   3408 ?        00:00:00 cat
   3409 ?        00:02:07 brave
   3430 ?        00:00:00 chrome_crashpad
   3433 ?        00:00:00 chrome_crashpad
   3447 ?        00:00:00 brave
   3448 ?        00:00:00 brave
   3454 ?        00:00:00 brave
   3494 ?        00:01:45 brave
   3499 ?        00:00:14 brave
   3500 ?        00:00:02 Xwayland
   3513 ?        00:00:00 brave
   3524 ?        00:00:01 gsd-xsettings
   3537 ?        00:00:01 mutter-x11-fram
   3555 ?        00:00:00 ibus-x11
   3585 ?        00:00:01 brave
   3758 ?        00:00:00 snap
   4150 ?        00:00:39 brave
   4197 ?        00:00:09 brave
   4227 ?        00:00:00 brave
   4253 ?        00:00:00 update-notifier
   4342 ?        00:00:48 brave
   4551 ?        00:00:01 brave
   4573 ?        00:00:00 brave
   4581 ?        00:00:00 brave
   4597 ?        00:00:38 brave
   4606 ?        00:00:29 brave
   4614 ?        00:00:06 brave
   4638 ?        00:00:02 fwupd
   4716 ?        00:00:00 gvfsd-recent
   4717 ?        00:00:00 gvfsd-network
   4731 ?        00:00:00 gvfsd-dnssd
   4738 ?        00:00:00 gvfsd-wsdd
   4743 ?        00:00:00 python3
   4897 ?        00:00:04 kworker/6:0-i915-unordered
   4898 ?        00:00:00 kworker/6:1
   4937 ?        00:00:08 code
   4941 ?        00:00:00 code
   4942 ?        00:00:00 code
   4944 ?        00:00:00 code
   4963 ?        00:00:00 chrome_crashpad
   4979 ?        00:00:06 code
